News Headline,Number of words,Confidence Score,Decision,Sentiment
Gold prices up on wedding season buying ; silver loses sheen,11,-1,0,NEGATIVE
Maharashta received $13 . 5 billion FDI this financial year : Governor,12,0.98,2,POSITIVE
Copper swiftly turned higher from 15 - month low since the start of 2019 . Is the momentum set to continue ? ,22,-0.67,1,NEUTRAL
US economy lost at least $6 billion to government shutdown : S & P,14,-0.99,0,NEGATIVE
"The Moneycontrol Show | Equity vs MF , Interim Budget , market strategies",13,0.69,1,NEUTRAL
Carnage in mid & small - caps ahead of Budget ; 30 stocks slip 10 - 30 % in a week,21,-1,0,NEGATIVE
Opinion | What we want ( and what we get ) from the Budget,14,0.97,2,POSITIVE
"Budget 2019 prediction : Farmer , middle class , small businesses to get big bonanza ! ",16,-1,0,NEGATIVE
Resignation of NSC members exposes government unwillingness to tackle unemployment,10,-1,0,NEGATIVE
"Budget 2019 : PHD Chamber seeks cut in corp tax , increase in I - T exemption limit",18,-0.84,0,NEGATIVE
SEBI slaps Rs 55 lakh fine on 9 entities for fraudulent trades in stock options,15,-1,0,NEGATIVE
India Inc foreign borrowing trebles to $3 . 81 billion in December,12,-1,0,NEGATIVE
"SEBI plans to relax norms for REITs , InvITs to increase investor access",13,-0.83,0,NEGATIVE
"Minimum Income Guarantee : How , what , when ?- Business News",12,-0.99,0,NEGATIVE
"In the age of automation , AI , companies focus on hiring people with soft skills : report",18,-0.83,0,NEGATIVE
"Sensex , Nifty close flat ahead of derivatives expiry , Union Budget",12,1,2,POSITIVE
Indian sovereign bond yield touches 7 . 6 % ahead of Budget 2019 : report,15,0.96,2,POSITIVE
"Apple reports Q1 results , slow iPhone sales pull down revenue",11,-1,0,NEGATIVE
"How Venezuela crisis will impact petrol , diesel prices in India",11,-0.75,0,NEGATIVE
Essar Steel : NCLT rejects promoter Ruia proposal to settle debt,11,-0.95,0,NEGATIVE
"Sensex rallies over 250 pts , Nifty tests 10 , 700 level",12,1,2,POSITIVE
In - depth : Why Rahul Gandhi minimum income promise can be a reality,14,1,2,POSITIVE
"Sensex , Nifty close lower on mixed global cues - Business News",12,1,2,POSITIVE
"Passenger traffic between Singapore , India touches 4 . 7 million mark in 2018",14,0.99,2,POSITIVE
Universal Basic Income : Will it work in India ?- Business News,12,-0.81,0,NEGATIVE
"Finance Minister , RBI Governor meet PSB heads to take stock of banking sector",14,0.96,2,POSITIVE
Glass manufacturer Saint Gobain invests Rs 1200 crore to open its third manufacturing plant,14,0.87,2,POSITIVE
Overleveraged real estate developers need to bring sanity,8,-1,0,NEGATIVE
Rupee slips 12 paise to 71 . 22 against US dollar in early trade,14,-1,0,NEGATIVE
"Sensex , Nifty open lower ; auto , consumer durables lead losses",12,-0.98,0,NEGATIVE
US files criminal charges against Huawei for violating Iran sanctions and stealing trade secrets,14,-0.98,0,NEGATIVE
"Rahul Gandhi promises Universal Basic Income ; what does it mean , how will it benefit people ? ",18,-0.74,0,NEGATIVE
"Sensex falls 368 points , Nifty ends below 10 , 700 ; YES Bank , Bajaj Finance , ICICI Bank top losers",22,-1,0,NEGATIVE
"Xiaomi launches ShareSave , a cross - border e - commerce platform",12,0.51,1,NEUTRAL
Good news for engineering students ! Wipro plans to double campus hiring this year,14,0.93,2,POSITIVE
Ex - Finance Commission chief Vijay Kelkar pitches for  Niti Aayog 2 . 0  ,14,1,2,POSITIVE
"2019 will be the year of growth for Indian IT , says Tech Mahindra MD CP Gurnani",17,1,2,POSITIVE
Simmba Box Office Collection : Ranveer Singh - Sara Ali Khan movie makes Rs 385 crore worldwide,17,1,2,POSITIVE
Donald Trump accepts deal to temporarily end longest govt shutdown in US history,13,-0.99,0,NEGATIVE
Maha received $13 . 5 bn FDI this financial year : Governor,12,0.81,2,POSITIVE
RSS urges PM Modi to resist US push to ease e - commerce curbs,14,-0.91,0,NEGATIVE
Poll worries muddy waters for bond investors in India - The Financial Express,13,-0.99,0,NEGATIVE
Leather sector to benefit immensely from rising Chinese labour cost : CLE,12,0.96,2,POSITIVE
"Redmi Note 7 Pro could pack 6GB RAM , 128GB storage , Xiaomi CEO Lei Jun hints",17,0.84,2,POSITIVE
Budget 2019 : What property developers expect from the FM,10,0.84,2,POSITIVE
"Manikarnika box office collection Day 5 : Kangana Ranaut Manikarnika gains momentum , crosses Rs 50 crores",17,1,2,POSITIVE
5 budgets that changed India : From Manmohan Singh  Epochal Budget  to Chavan  Black Budget ; here list,18,0.76,2,POSITIVE
Budget 2019 : Are both LTCG tax on equities and STT here to stay ? Here what experts say,19,-0.99,0,NEGATIVE
Infra upgrade continues ! Indian Railways commissions 3 - km railway bridge with 3 lines and advance signalling,18,1,2,POSITIVE
"DHFL share price recovers after company denies Rs 31 , 000 crore fund diversion report",15,-0.99,0,NEGATIVE
All - new Honda CB300R spied in India : KTM 390 Duke rival launching on 8th February,17,1,2,POSITIVE
Budget 2019 : What the government should do in Interim Budget to revive real estate,15,0.87,2,POSITIVE
"Sebi proposes relaxed norms for REITs , InvITs to increase access to investors",13,-0.82,0,NEGATIVE
Union Budget 2019 : Health insurance sector expectations from Interim Budget,11,0.88,2,POSITIVE
"Budget 2019 : FinMin denies reports of full budget , says it will be called  interim  budget",17,-1,0,NEGATIVE
"Indian sovereign bond yield touch 7 . 6 per cent ahead of interim budget , says DBS bank",18,0.93,2,POSITIVE
"Harley - Davidson reports  worse - than - expected  quarterly profit , to boost investment at its Thailand plant",19,-1,0,NEGATIVE
"Rupee opens 21 paise lower against US dollar ; budget , Fed meeting in focus",15,-0.96,0,NEGATIVE
"Share Market Live : Sensex up 180 points ; HCL Tech , Axis Bank rally ; HDFC shares down",19,-0.81,0,NEGATIVE
Petrol price today : Fuel prices kept unchanged ; petrol selling at Rs 71 . 19 per litre in New Delhi,21,0.99,2,POSITIVE
"Asian shares inch up after Apple earnings , CEO comments - The Financial Express",14,-1,0,NEGATIVE
"Gold holds near 8 - month highs on trade concerns , Fed rate views",14,0.56,1,NEUTRAL
Higher input costs hit Ramco Cement Q3 profit - The Financial Express,12,-0.61,1,NEUTRAL
Radio industry seeks increase in ad rates - The Financial Express,11,-0.87,0,NEGATIVE
Warnings from the global trade cycle : Growth averaged just 3 . 6 % from 2012 to 2018,18,-1,0,NEGATIVE
Why fintech matters in the Proptech 3 . 0 era - The Financial Express,14,0.6,1,NEUTRAL
China fast tracking 5G deployment amid Huawei espionage row,9,-0.99,0,NEGATIVE
Can palliative UBI cure all issues ? Farmers lose Rs 2 . 5 trillion annually as markets not free,19,-0.56,1,NEUTRAL
"Demand for  Made - in - India  motorcycles rises in Latin America : Bajaj Auto , TVS top exporters",19,1,2,POSITIVE
"Manikarnika box office collection Day 4 : Kangana Ranaut starrer enjoys a decent run , especially in northern circles",19,1,2,POSITIVE
"Budget 2019 : Realtors give up on budget saying FM will woo voters , not industry",16,-1,0,NEGATIVE
Kia Soul EV handed over to Andhra Pradesh Government : 450 km range and more,15,-0.52,1,NEUTRAL
Budget 2019 wishlist : Make education affordable to students,9,0.96,2,POSITIVE
Budget 2019 : What India expects from Modi government - The Financial Express,13,0.93,2,POSITIVE
Stake sale in South Asia business will help Tata Steel reduce debt : S & P,16,0.98,2,POSITIVE
"2019 Hyundai Grand i10 spotted : Maruti Suzuki Swift competitor to offer more space , safety",16,0.94,2,POSITIVE
"Budget 2019 India : Interim budget or vote - on - account , what will the Modi government opt for ? ",21,-0.95,0,NEGATIVE
"Air India extends sale : Now , book flight tickets for as low as Rs 979 till January 31",19,-0.9,0,NEGATIVE
"Good news ! This bank offers up to 9 . 25 % interest on FDs , 9 . 75 % for senior citizens",23,0.98,2,POSITIVE
Budget 2019 : Basic income support to cost a whopping Rs 1 . 5 lakh crore to India,18,-0.94,0,NEGATIVE
Planning to invest in stock markets ? Herere smart ways to know your risk appetite,15,0.8,2,POSITIVE
"Gold hits seven - month peak on Fed pause views , trade tensions",13,0.63,1,NEUTRAL
"Share Market Live : Sensex down 120 points , Nifty below 10 , 650 ; Yes Bank , Bajaj Auto among top losers",23,-1,0,NEGATIVE
Trump to wade into China trade talks as US targets Huawei,11,-0.99,0,NEGATIVE
Xiaomi rout throws spotlight on Hong Kong expiring lockups,9,1,2,POSITIVE
"Artificially low inflation has hurt farmers , solution lies in balancing consumer - farmer interests",15,-0.97,0,NEGATIVE
"Tractors , Construction Equipment behind 52 % surge in net profit of Escorts",13,0.99,2,POSITIVE
Manic Monday : Bank stocks plunge the most - The Financial Express,12,-1,0,NEGATIVE
Stock markets : Ways to know your risk appetite - The Financial Express,13,0.96,2,POSITIVE
Subdued growth : Q3 profits of over 200 firms that declared results grew by just 0 . 5 % ,19,-0.99,0,NEGATIVE
Steel production : SMEs restrained by lower utilisation of installed capacity due to non - availability of raw materials,19,-0.98,0,NEGATIVE
Budget 2019 : Income tax payers seeking more disposable income in hands,12,-0.99,0,NEGATIVE
Godrej Properties posts Rs 42 - cr net in Dec quarter - The Financial Express,15,-1,0,NEGATIVE
Election year budget should balance short term - long term interests of agri - sector,15,0.74,2,POSITIVE
"New E - Commerce rules are discriminatory against foreign players , says Lalit Bhasin",14,-1,0,NEGATIVE
Double Whammy : No space for government on fiscal front ; RBI too has limited space for monetary easing,19,-1,0,NEGATIVE
"Focus to be on rural , infra sectors ; limited scope of tax rate change",15,-0.99,0,NEGATIVE
"Partial US government shutdown cost economy $3 billion , says US budget office",13,-0.99,0,NEGATIVE
"After China , US also expected to witness slowdown , repercussions to be felt around the world",17,-0.94,0,NEGATIVE
How companies can enable hassle - free business travel for employees,11,0.94,2,POSITIVE
"FM Piyush Goyal asks PSU banks to step up lending to MSME , agriculture and housing sectors",17,-0.76,0,NEGATIVE
CBSE class 10 date sheet 2019 now available at cbse . nic . in ; check full timetable,18,-0.73,0,NEGATIVE
"Climate change , obesity , malnutrition : How  big food  curb may solve world 3 key problems",17,-0.74,0,NEGATIVE
Sri Lanka gets India - funded world - class  Make in India  passenger train ; check features of new service,20,0.99,2,POSITIVE
"Manikarnika box office collection Day 3 : Kangana Ranaut roars , her movie crosses Rs 40 crore mark in its first weekend",22,1,2,POSITIVE
Apple cart upset ? How OnePlus toppled iPhone as top premium smartphone brand,13,-1,0,NEGATIVE
"US democracy under attack like never before , says Kamala Harris as she kicks off 2020 presidential campaign",18,-0.64,1,NEUTRAL
Budget 2019 : How raising Section 80C limit by the FM will give much - needed relief to taxpayers,19,-0.96,0,NEGATIVE
"Jet Airways sale : Grab up to 50 % discount on domestic , international flights ; check details",18,0.89,2,POSITIVE
New NITI Aayog : How Vijay Kelkar proposed NITI 2 . 0 will be different from Planning Commission,18,0.87,2,POSITIVE
What does US Shutdown mean and how does it affect the Indian economy ? ,14,-1,0,NEGATIVE
Indonesia turns third biggest market for SoftBank - backed OYO after China and India,14,0.52,1,NEUTRAL
"Gold prices hold above $1 , 300 on US rate pause hopes - The Financial Express",16,-0.99,0,NEGATIVE
Asian stocks rise after US government reopens for now - The Financial Express,13,-0.92,0,NEGATIVE
"Oil prices fall on rising US rig count , economic slowdown",11,-0.99,0,NEGATIVE
Rupee gains 21 paise in early trade to 70 . 96 per US dollar ; 10 - year govt bond yields up,22,0.78,2,POSITIVE
"Share Market Live : Sensex up 60 points , Nifty above 10 , 750 ; Zee Entertainment zooms 14 %; Maruti Suzuki down",23,0.95,2,POSITIVE
Dollar on back foot as focus shifts to Fed meeting ; yen gains,13,0.64,1,NEUTRAL
"Focus on know - how , data and information : Patrick Kilbride , Senior V - P , GIPC",19,1,2,POSITIVE
Know how fusion investing unlocks value - The Financial Express,10,1,2,POSITIVE
How OnePlus toppled Apple iPhone from top premium smartphone slot in India,12,-1,0,NEGATIVE
Fiscal Finances : Additional expenditures on rural India likely to keep New 60pc public debt - to - GDP ratio target elusive,22,-0.72,0,NEGATIVE
Changing landscape in healthcare industry : Disease prevention taking centre stage,11,1,2,POSITIVE
What is VUCA and why both employers and employees are facing the brunt of it ? ,16,-1,0,NEGATIVE
SC boost to IBC process will mean faster resolution ; Apex court may not exempt power firms from Sec 12,20,0.76,2,POSITIVE
"Budget 2019 : Rural incomes , revenue buoyancy top priorities",10,0.99,2,POSITIVE
Almost 30 % of the core inflation relatively ineffective to RBI monetary policy ; consumer still end up paying more,20,-1,0,NEGATIVE
Three trends that will re - define Indian businesses - The Financial Express,13,1,2,POSITIVE
"Pathology lab chain Oncquest Laboratories to add 18 labs , 500 collection centres by end of 2020",17,0.99,2,POSITIVE
Pakistan to receive USD 4 . 5 billion oil financing facility from Islamic Development Bank,15,-0.95,0,NEGATIVE
"How many people from Haryana employed in Gurgaon , asks JJP founder - in chief Dushyant Chautala",17,-0.88,0,NEGATIVE
Oxford chooses  Nari Shakti  as Hindi word of 2018 - The Financial Express,13,-0.59,1,NEUTRAL
Gram parivartak helping in shaping rural economy : Devendra Fadnavis,10,1,2,POSITIVE
Yellow Tie Hospitality gulps down casual dining brand Bombay Blue from Everstone Capital,13,-0.75,0,NEGATIVE
Now Paytm Money users can track all their mutual fund investments on its app ; claims over 1 million customers,20,0.93,2,POSITIVE
Brexit : united kingdom departure from EU could be delayed by  couple of weeks  ,14,-0.99,0,NEGATIVE
India stay off 76 - member WTO push for global e - commerce rules,14,-1,0,NEGATIVE
"Maharashtra received $13 . 5 bn FDI this financial year , says Governor C Vidyasagar Rao",16,0.73,2,POSITIVE
India opposition wants a universal basic income . Does the idea stand a chance ? ,15,-1,0,NEGATIVE
"BC - US -- State of Union , ADVISORY , US",11,0.97,2,POSITIVE
"New GOP governor proposes $1 , 200 raise for Oklahoma teachers",11,-0.63,1,NEUTRAL
Welcome new retail investment avenues,5,0.99,2,POSITIVE
US Fed : Rates experts work to decode enigma of Fed balance - sheet pivot,15,0.68,1,NEUTRAL
11 European Nations recognise Juan Guaido as Venezuela president,9,0.96,2,POSITIVE
Australia vows to clean up financial sector after landmark misconduct inquiry,11,0.53,1,NEUTRAL
Standard Chartered likely to open global branch in GIFT city,10,1,2,POSITIVE
Nobody can make authentic statement on job creation as there are no reliable data of jobs : SBI Chairman,19,-0.99,0,NEGATIVE
Allied Blenders & Distillers : Allied Blenders & Distillers plans around Rs 800 crore IPO after polls,17,-0.73,0,NEGATIVE
RBI : RBI may slash interest rate by 25 bps : SBI report,13,-1,0,NEGATIVE
JSW Cement looks to raise Salboni unit production,8,0.92,2,POSITIVE
Rupee : Rupee slumps 55 paise to 71 . 80 on firm crude,13,-1,0,NEGATIVE
"Europe stocks little changed as miners fall , oil shares advance",11,-0.82,0,NEGATIVE
"Crude Oil price : Outlook : Oil may see profit taking , hit Rs 3 , 900",17,-0.6,1,NEUTRAL
Rahul Gandhi : Modi - led  Kauravas  will be drubbed by Rahul in polls : Antony,16,-0.73,0,NEGATIVE
"Market : Sensex , Nifty end positive as RIL saves the day",12,1,2,POSITIVE
India exports to surpass USD 314 bn peak this year,10,0.9,2,POSITIVE
Niti Aayog open to have a role in allocating developmental funds to states : Rajiv Kumar,16,1,2,POSITIVE
Xiaomi : Xiaomi Redmi Note 7 to launch next week : Expected price & specs,15,0.94,2,POSITIVE
Cant disclose black money reports as Parliamentary Panel examining them : Finance Ministry,13,-0.9,0,NEGATIVE
"Axis Mutual Fund : Rupee going to be less volatile than last year : R Sivakumar , Axis MF",19,1,2,POSITIVE
Amazon : Chain of subsidiaries may help skirt curbs for etailers,11,1,2,POSITIVE
Godrej properties inks pact to develop 6 new projects in Pune,11,1,2,POSITIVE
Sales slump after Paytm Mall puts paid to cashbacks,9,-1,0,NEGATIVE
"Nilesh Shah : Capital expenditure may be raised in actual budget : Nilesh Shah , Kotak AMC",17,-0.95,0,NEGATIVE
"Gold Rate Today : Gold , silver fall on muted demand , weak global trend",15,-1,0,NEGATIVE
"Moody Investors Service : Budget gives no clarity on how to improve credit profile : William Foster , Moody ",19,-1,0,NEGATIVE
Rupee vs Dollar : Rupee slips 29 paise against US dollar,11,-1,0,NEGATIVE
"Stock Market News Briefing : ETMarkets Morning Podcast : Raining IT jobs , power tussle in Kolkata , risk aversion for debt funds & more",25,0.71,2,POSITIVE
Power & emotion : Celebrating the makers of new India,10,1,2,POSITIVE
"Samsung Galaxy S10E specs leaked : 5 . 8 - inch display , dual camera , slim bezels",18,-1,0,NEGATIVE
"Amazon , Flipkart sales fall a third as FDI norms kick in",12,-1,0,NEGATIVE
"asian markets : Asia stocks quiet , dollar supported after upbeat US jobs data",14,-0.85,0,NEGATIVE
"Matt Gertken : Global trade tensions may re - emerge as US nears polls : Matt Gertken , BCA Research",20,0.98,2,POSITIVE
"budget 2019 : brokerage take : Brokerages see big boost for consumption , no rate hike",16,-0.7,0,NEGATIVE
RBI Monetary policy meet : Market sees RBI setting course towards rate cut,13,0.67,1,NEUTRAL
"Market movers : Market Movers : Fitch may review India rating , cash dole for 10 cr farmers & CBI - police faceoff in Kolkata",25,-0.53,1,NEUTRAL
"oil : Oil prices slip , but tightening supply outlook supports",11,0.58,1,NEUTRAL
"Gold : Gold slips on firm dollar , robust US jobs data",12,0.63,1,NEUTRAL
budget 2019 : Interim budget not inflationary : Eco affairs secy Subhash Chandra Garg,14,0.78,2,POSITIVE
5 promising ports and logistics stocks,6,0.99,2,POSITIVE
Govt risky bet on high - cost funds may fuel price rise,12,-1,0,NEGATIVE
How healthy are your personal finances ? Take this quiz to find out,13,0.95,2,POSITIVE
5 troubled sector stocks which can be winners in the long term,12,-0.53,1,NEUTRAL
Democratic contenders hoping to run on soaking the rich,9,0.71,2,POSITIVE
"Big 4 IT firms hire 70 , 000 in past 9 months",12,0.97,2,POSITIVE
budget 2019 : Why RBI needs to sit out the impact of the interim budget before cutting rates,18,-0.94,0,NEGATIVE
Shun a handouts political economy,5,-1,0,NEGATIVE
Case for vigilance on the fiscal front,7,0.76,2,POSITIVE
Analysis : Trump State of Union comes amid political peril,10,-0.87,0,NEGATIVE
Students from abroad must come to India to study : Modi,11,0.94,2,POSITIVE
RBI MPC may change policy stance to neutral this week : Experts,12,0.68,1,NEUTRAL
"Nifty outlook : Trade setup for Monday : Nifty likely to remain rangebound , avoid shorts",16,0.99,2,POSITIVE
"ICICI bank : Tweet Buster : Budget nit - picking , stock ideas and why bear markets are good",19,-0.52,1,NEUTRAL
In talks with large auto companies in India : Harman,10,0.97,2,POSITIVE
Arun Jaitley says no major social agitation indicates it hasnt been jobless growth,13,-1,0,NEGATIVE
"Modi : View : If you thought bad jobs data would hurt Modi , think again",16,-0.99,0,NEGATIVE
Interm Budget : View : The Indian voter is destined to be saddled with bad economics,16,-0.99,0,NEGATIVE
"Budget proposals positive for tractor , two - wheeler segments : Experts",12,0.97,2,POSITIVE
"Asia stocks : Asia stocks having a  bear - market bounce , says JPMorgan Asset Management",16,0.68,1,NEUTRAL
"Will add 1 crore taxpayers next year ; data , demonetisation helping widen base : Revenue secretary",17,0.6,1,NEUTRAL
"No norms violated , Congres interim budget gave relief on SUVs of rich , ours will help middle class : Piyush Goyal",22,0.98,2,POSITIVE
"Capital markets : FPIs pull out Rs 5 , 300 crore from capital markets in January",16,-1,0,NEGATIVE
"markets this week : RBI rate review , Q3 earnings among 6 factors steering D - Street in the week ahead",21,0.99,2,POSITIVE
What farmers have to say about Modi government income support scheme,11,0.93,2,POSITIVE
sundayET : How a British researcher helped lay principles for organic farming movement in 1930s,15,1,2,POSITIVE
"Will oppose citizenship bill , Centre must withdraw it : Mamata Banerjee",12,-0.98,0,NEGATIVE
Can India afford welfarism based on handouts,7,-0.84,0,NEGATIVE
Trump is latest to give State of Union in time of turmoil,12,0.82,2,POSITIVE
"Two J - Queen durian fruits fetch $1 , 000 in Indonesia",12,-0.97,0,NEGATIVE
budget 2019 : ET Simply Put : Modi interim Budget and the Bushido strategy,14,-0.68,1,NEUTRAL
"budget 2019 : Government eyeing Rs 90 , 000 - cr divestment in FY20",14,-1,0,NEGATIVE
"Nifty : Dalal Street week ahead : Nifty digesting Budget details , looks to get past 10 , 950 wall",20,1,2,POSITIVE
"No iPhones , delivery of Echo speakers will take a month . Amazon hit hard by new ecomm rules",19,-1,0,NEGATIVE
budget : We stuck to an honest Budget despite temptations : Piyush Goyal,13,0.87,2,POSITIVE
China to provide USD 2 . 5 billion loan to Pakistan to boost foreign cash reserves,16,-0.97,0,NEGATIVE
Pension Scheme | Budget 2019 : Pension scheme for Bharat | All about mega pension scheme,16,0.97,2,POSITIVE
Union Budget 2019 : How you fared during five years of Modi government,13,0.51,1,NEUTRAL
"Shankar Sharma : Bear markets are like ethical hackers , they expose scams : Shankar Sharma",16,-0.99,0,NEGATIVE
GST Collection | Budget 2019 : D - Street has a problem with the Budget math : Revenue targets look too ambitious,22,-1,0,NEGATIVE
Thai forest rangers train to tackle wildlife crime,8,-0.68,1,NEUTRAL
federal reserve : Traders stick to view that Fed next move is rate cut,14,-1,0,NEGATIVE
central banks : Emerging central bank tightening cycle grinds to a halt,12,-0.97,0,NEGATIVE
"budget 2019 : Budget addresses BJP vote bank but ignores capex : Sunil Subramaniam , Sundaram Mutual",17,-0.99,0,NEGATIVE
"Nifty : Will Nifty cross the 11 , 000 mark before elections ? It a possibility",16,0.98,2,POSITIVE
Budget impact on Sensex : Aam stimulus for D - Street,11,1,2,POSITIVE
bond : Bond yields jump on deficit concern - The Economic Times,12,0.6,1,NEUTRAL
Cow Welfare : Rs 500 crore Allotted for Rashtriya Kamdhenu Aayog in Budget 2019,14,0.72,2,POSITIVE
budget 2019 : Budget 2019 : View - Fake promises for hanging on to power,15,-1,0,NEGATIVE
Budget 2019 : 10 key dimensions of Center Vision 2030,10,1,2,POSITIVE
budget 2019 : View : Direct income support for farmers in Budget 2019 - An idea whose time has come,20,0.65,1,NEUTRAL
"budget 2019 : Budget 2019 : Income support for farmers a progressive step , but not enough to mitigate stress",20,-0.5,1,NEUTRAL
Budget makes us believe India can become a $10 - trillion economy : Amitabh Kant,15,0.99,2,POSITIVE
"Budget 2019 is the mother of all election budgets , but rates and inflation may rise",16,-0.8,0,NEGATIVE
"Full of jumlas , exaggerated promises & jugglery of figures : Kamal Nath",13,-0.92,0,NEGATIVE
"Grand spending & tax concessions apart , GoI receipts based on hope & prayer",14,0.91,2,POSITIVE
"Focus on farmers , infrastructure and easing tax burden of middle - class : Nitin Gadkari",16,1,2,POSITIVE
Reaping in agriculture today to sow tomorrow in the economy,10,0.95,2,POSITIVE
"View : Disappointingly short - sighted , yet not all quite blind",12,-1,0,NEGATIVE
"Govt focus on boosting rural incomes to benefit makers of mobiles , hygiene products",14,-0.74,0,NEGATIVE
budget 2019 : Budget proposals to help put more money into pockets of small taxpayers : ICAI,17,-0.53,1,NEUTRAL
 # 10YearChallenge : 70 equity mutual fund schemes grew over 5x,11,0.99,2,POSITIVE
Budget Analysis : Modi populist budget to weigh on next Indian government : Economists,14,-0.75,0,NEGATIVE
"sensex : After Market : SBI slips despite good Q3 ; auto , realty shine on Budget boost",18,-1,0,NEGATIVE
Budget for farmers : Government income support to farmers no match to Telangana & Odisha schemes : Experts,18,0.99,2,POSITIVE
Stock Market News Briefing : ETMarkets Evening Podcast : Can stocks extend Budget day rally ? ,16,-0.93,0,NEGATIVE
"Budget reaction : Priti Rathi hails tax revisions ; Neerja Birla , GOQii CEO positive about healthcare",17,-0.99,0,NEGATIVE
"Budget analysis : As polls near , who will pay for government ambitious promises ? ",15,-0.99,0,NEGATIVE
View : Will Budget 19 - 20 help BJP achieve narrative shift ? ,13,-0.97,0,NEGATIVE
"Honda Sales : Honda cars sales up 23 % to 18 , 261 units in January",16,0.99,2,POSITIVE
Budget 2019 key takeaways : Decoding Interim Budget 2019 : 10 takeaways from fineprint reading,15,-0.67,1,NEUTRAL
Mayawati calls Budget  jumlebazi  ,4,-1,0,NEGATIVE
"DRL : EMs , India drive DRL Q3 show : Big takeaways - The Economic Times",16,1,2,POSITIVE
Northeast India hails interim budget for 2019 - 20,9,-0.98,0,NEGATIVE
budget 2019 : PM Modi woos voters with $13 billion of relief before elections,14,-0.73,0,NEGATIVE
"Sensex reaction to Budget : Budget gives market reasons to cheer , Sensex up 213 points",16,-0.95,0,NEGATIVE
"Gold : Budget 2019 : Rural gold demand all set to rise , say traders",15,0.99,2,POSITIVE
"budget 2019 : Budget 2019 : Confident of being on the fiscal glide path as per FRBM Act , says Arun Jaitley",22,1,2,POSITIVE
"à¤¬à¤œà¤Ÿ à¤®à¥‡à¤‚ à¤®à¤¿à¤²à¥€ à¤¸à¥Œà¤—à¤¾à¤¤à¥‹à¤‚ à¤•à¤¾ à¤«à¤¾à¤¯à¤¦à¤¾ à¤‰à¤ à¤¾à¤‡à¤ , à¤µà¥‹à¤Ÿ à¤œà¤¿à¤¸à¥‡ à¤®à¤¨ à¤¹à¥‹ à¤‰à¤¸à¥‡ à¤¦à¥€à¤œà¤¿à¤",14,0.93,2,POSITIVE
Mutual Fund News : Six mutual fund managers analyse budget 2019,11,0.79,2,POSITIVE
"Farmers , middle class - friendly Budget to fuel demand , boost economic growth : India Inc",17,0.98,2,POSITIVE
"Going beyond incremental growth ; India set for quantum leap in road , waterways , railways sectors : FM",19,1,2,POSITIVE
"budget 2019 : Rupee drops as FM unveils populist sops , hikes fiscal deficit target to 3 . 4 % ",20,-1,0,NEGATIVE
"budget 2019 : Budget 2019 : India to become $5 trillion economy in 5 years , $10 trillion in 8 years thereafter",22,0.95,2,POSITIVE
budget 2019 : Budget 2019 consumption - oriented : Industry officials,11,0.99,2,POSITIVE
"Rajnath Singh : Interim Budget  historic , to benefit all sections of society : Rajnath Singh",16,1,2,POSITIVE
"Piyush Goyal invokes  josh  in Budget speech , Mahindra & Goenka give a thumbs - up",16,1,2,POSITIVE
Bond market | Budget 2019 : Modest deficit number cools bond mart : 10 - year G - sec down 3 bps,22,-0.76,0,NEGATIVE
"Dr Reddy Q3 Result : Dr Reddy Q3 profit jumps 45 % YoY to Rs 485 crore , beats Street estimates",21,0.73,2,POSITIVE
"Interim Budget Reactions : Big thumbs up , with riders of course",12,0.99,2,POSITIVE
"Keki Mistry : Both rural economy and housing to benefit from this Budget : Keki Mistry , HDFC",18,0.99,2,POSITIVE
Budget Updates : FM Piyush Goyal lays out 10 dimensions of Centre Vision 2030,14,0.77,2,POSITIVE
"Budget 2019 | Digital Economy : FM says 2030 digital economy to be built on digitization of govt processes , transactions",21,0.97,2,POSITIVE
Budget Highlights : Key highlights : Modi election budget explained in 10 easy points,14,0.94,2,POSITIVE
"Budget 2019 | Mutual Funds : no sops for mutual funds , but tax breaks bring cheer",17,0.82,2,POSITIVE
Budget 2019 | Fiscal Slippage : Moodys said fiscal slippage credit negative for India,14,-1,0,NEGATIVE
"Raamdeo Agrawal : The benefits from the dole - outs will be small but immediate : Raamdeo Agrawal , MOFSL",20,0.99,2,POSITIVE
budget 2019 : India fastest highway developer in world : FM Piyush Goyal in Budget 2019,16,1,2,POSITIVE
Budget 2019 : Read full text of Piyush Goyal speech in Parliament,12,-0.68,1,NEUTRAL
"MSME : Govt financial inclusion paying dividends , GeM an enabler for MSMEs : Piyush Goyal",16,0.99,2,POSITIVE
Budget 2019 : FM Piyush Goyal announces 2 % interest subvention for farmers hit by natural calamities,17,-0.99,0,NEGATIVE
"Budget Highlights 2019 : Budget highlights 2019 : Big money in pockets of middle class , farmers",17,0.93,2,POSITIVE
India attracted massive FDI worth USD 239 bn in last 5 years : FM Piyush Goyal in Budget 2019,19,0.99,2,POSITIVE
budget 2019 : Govt broke the back of high inflation : FM Goyal in Budget 2019,16,-0.99,0,NEGATIVE
"Budget 2019 : India brightest spot in the world ; GDP growth fastest in last 5 years , says FM Piyush Goyal",22,1,2,POSITIVE
"Budget 2019 highlights : Govt announces assured income of Rs 6 , 000 per year to small farmers",18,0.96,2,POSITIVE
"Budget speech : FM pegs FY19 fiscal deficit at 3 . 4 %, rolls out income scheme in interim Budget",20,-1,0,NEGATIVE
